DTXSID	activity
DTXSID5047035	0.000000
DTXSID5048186	0.000000
DTXSID6020014	0.000000
DTXSID6020511	1.000000
DTXSID6022422	0.000000
DTXSID6024175	-0.001745
DTXSID6024200	0.000000
DTXSID6024460	0.000001
DTXSID6024911	-0.000338
DTXSID6024913	0.000000
DTXSID6025143	0.000000
DTXSID6025355	0.000017
DTXSID6027268	0.000009
DTXSID6031461	-0.008702
DTXSID6032431	0.000013
DTXSID6035784	0.000016
DTXSID6035285	-0.000000
DTXSID6041268	0.003304
DTXSID6041761	0.000000
DTXSID7020057	0.016880
DTXSID7021239	0.000012
DTXSID7021867	-0.000000
DTXSID7022253	0.000000
DTXSID7024532	0.000000
DTXSID7025429	0.795863
DTXSID7025895	0.000000
DTXSID7026520	0.000000
DTXSID7026994	-0.000000
DTXSID7027047	-0.008826
DTXSID7030307	-0.000000
DTXSID7031458	-0.000006
DTXSID7041097	0.000015
DTXSID7041413	0.000000
DTXSID7041411	-0.000173
DTXSID7041544	-0.000000
DTXSID7042140	0.000000
DTXSID7042196	-0.000000
DTXSID7044893	-0.000588
DTXSID7044895	0.999567
DTXSID7047568	-0.000000
DTXSID8020464	0.000015
DTXSID8020466	-0.000000
DTXSID8020915	0.000000
DTXSID8021224	0.997096
DTXSID8021777	0.000000
DTXSID8021804	-0.000000
DTXSID8022292	0.000000
DTXSID8023216	0.000021
DTXSID8025337	0.000642
DTXSID8025886	-0.000110
DTXSID8026060	-0.000000
DTXSID8026303	0.998944
DTXSID8027292	-0.000000
DTXSID8040270	0.977616
DTXSID8042137	-0.000000
DTXSID8043941	-0.000000
DTXSID8042478	0.000000
DTXSID8044593	0.000000
DTXSID8044836	1.000000
DTXSID8047185	-0.000000
DTXSID8047505	0.000000
DTXSID9020160	-0.000001
DTXSID9020295	0.000000
DTXSID9020247	-0.000000
DTXSID9020409	-0.999832
DTXSID9020790	-0.000000
DTXSID9021138	-0.000000
DTXSID9021344	0.000000
DTXSID9021427	-0.000000
DTXSID9021639	0.000000
DTXSID9022312	-0.000000
DTXSID9022100	-0.000000
DTXSID9022522	0.000000
DTXSID9021928	0.000000
DTXSID9022526	1.000000
DTXSID9022528	0.000000
DTXSID9023889	0.000000
DTXSID9024930	0.000000
DTXSID9025164	0.000000
DTXSID9025035	0.000007
DTXSID9032533	0.000000
DTXSID9034492	-0.003750
DTXSID9035204	0.000000
DTXSID9034997	0.999820
DTXSID9040712	0.024934
DTXSID9044322	-0.000000
DTXSID9044742	0.189074
DTXSID9044821	-0.000000
DTXSID9046992	-0.000006
DTXSID9047592	0.000000
DTXSID9047594	-0.000000
DTXSID9047679	0.000000
